Data;Hora;Moeda;Qtd;Tipo;Status
2021-06-07;14:16:00;LUNA;374,601;SAÍDA;Para Carteira Externa
2021-06-08;11:30:04;SOL;100,0;SAÍDA;Para Carteira Externa
2021-06-09;10:36:02;SOL;207,075538;SAÍDA;Para Carteira Externa
2021-06-10;23:45:02;LUNA;229,514;SAÍDA;Para Carteira Externa
2021-06-11;00:05:00;ALGO;3446,24;SAÍDA;Para Carteira Externa
2021-06-12;13:07:00;ADA;10002,35157;SAÍDA;Para Carteira Externa
2021-06-13;08:46:00;SOL;100,0;SAÍDA;Para Carteira Externa
2021-06-13;08:54:00;ALGO;1217,0;SAÍDA;Para Carteira Externa
2021-06-13;09:33:00;ADA;10000,0;SAÍDA;Para Carteira Externa
2021-06-14;11:25:00;SOL;93,422;SAÍDA;Para Carteira Externa
2021-06-14;16:35:04;ADA;20000,0;SAÍDA;Para Carteira Externa
2021-06-25;13:33:12;ADA;6844,6;SAÍDA;Para Carteira Externa
2021-07-01;10:19:00;SOL;56,237;SAÍDA;Para Carteira Externa
2021-07-02;08:00:04;ALGO;220,0;SAÍDA;Para Carteira Externa
2021-07-02;08:07:00;SOL;49,015;SAÍDA;Para Carteira Externa
2021-07-05;08:15:04;USDT;1200,0;SAÍDA;Para Carteira Externa
2021-07-07;14:43:42;USDT;724,71;SAÍDA;Para Carteira Externa
2021-07-07;15:48:42;XRP;1935,54;SAÍDA;Para Carteira Externa
2021-07-07;19:22:08;VTHO;4806,53715309;ENTRADA;Origem Externa
2021-07-07;19:34:42;XRP;47,65;SAÍDA;Para Carteira Externa
2021-07-15;10:08:42;XRP;5000,0;SAÍDA;Para Carteira Externa
2021-07-15;10:22:42;XLM;7010,0;SAÍDA;Para Carteira Externa
2021-07-15;10:48:44;ETH;1,0083;SAÍDA;Para Carteira Externa
2021-07-15;11:06:42;BTC;0,153;SAÍDA;Para Carteira Externa
2021-07-16;08:48:44;CHZ;5850,08;SAÍDA;Para Carteira Externa
2021-07-16;08:56:44;ENJ;1139,477;SAÍDA;Para Carteira Externa
2021-07-16;10:14:40;ADA;2000,27;SAÍDA;Para Carteira Externa
2021-07-16;13:32:44;ETH;0,30377;SAÍDA;Para Carteira Externa
2021-07-30;14:30:36;USDC;5000,0;ENTRADA;Origem Externa
2021-07-30;14:46:44;ETH;0,8;SAÍDA;Para Carteira Externa
2021-07-30;15:02:42;XRP;4328,93;SAÍDA;Para Carteira Externa
2021-08-04;14:39:12;USDC;10000,0;ENTRADA;Origem Externa
2021-08-04;15:04:40;ADA;7345,91;SAÍDA;Para Carteira Externa
2021-08-04;15:21:08;USDC;5000,0;ENTRADA;Origem Externa
2021-08-04;15:53:44;BTC;0,127404;SAÍDA;Para Carteira Externa
2021-08-07;07:17:06;CHZ;5796,08;ENTRADA;Origem Externa
2021-08-07;07:19:08;ENJ;1128,477;ENTRADA;Origem Externa
2021-08-07;07:54:42;TFUEL;15,0;SAÍDA;Para Carteira Externa
2021-08-07;08:00:08;THETA;10,0;ENTRADA;Origem Externa
2021-08-07;08:04:08;THETA;990,8;ENTRADA;Origem Externa
2021-08-07;08:17:12;SNX;104,13466;ENTRADA;Origem Externa
2021-08-07;08:19:06;AAVE;10,39979686;ENTRADA;Origem Externa
2021-08-07;08:38:44;BTC;0,39959237;SAÍDA;Para Carteira Externa
2021-08-14;08:28:38;USDC;10000,0;ENTRADA;Origem Externa
2021-08-16;09:32:40;ADA;4588,41;SAÍDA;Para Carteira Externa
2021-08-16;21:52:36;USDC;10000,0;ENTRADA;Origem Externa
2021-08-16;22:24:42;XRP;834,79;SAÍDA;Para Carteira Externa
2021-08-17;23:32:40;USDT;1150,132328;SAÍDA;Para Carteira Externa
2021-08-17;23:38:40;XRP;1000,0;SAÍDA;Para Carteira Externa
2021-08-19;09:27:08;USDC;10000,0;ENTRADA;Origem Externa
2021-08-19;09:36:42;XRP;1800,0;SAÍDA;Para Carteira Externa
2021-08-19;18:17:40;USDT;991,050885;SAÍDA;Para Carteira Externa
